EmployeeID,Name,Department,Role,Tenure,JobSatisfaction,WorkLifeBalance,ManagerSupport,CareerGrowth,StressLevel,AttritionRisk,RiskBand
EMP00041,Aditya,Operations,Operations Executive,0.4,4,4,3,1,3,55.0,Medium
EMP00042,Arjun,Marketing,Marketing Manager,14.5,2,2,2,3,5,71.0,High
EMP00043,Vihaan,Marketing,Marketing Manager,1.0,1,4,1,5,4,62.0,Medium
EMP00044,Rahul,Finance,Accountant,1.8,3,1,1,4,3,64.0,Medium
EMP00045,Ishaan,Operations,Operations Executive,1.8,5,3,3,3,2,43.0,Medium
EMP00046,Rahul,HR,HR Executive,1.7,1,4,1,5,4,62.0,Medium
EMP00047,Vivaan,Operations,Operations Manager,5.1,3,4,3,1,1,53.0,Medium
EMP00048,Riya,Marketing,Marketing Manager,20.8,5,5,3,4,1,30.0,Low
EMP00049,Rahul,HR,HR Manager,12.2,5,1,5,3,4,47.0,Medium
EMP00050,Rahul,Sales,Account Manager,7.7,5,5,1,3,2,45.0,Medium
EMP00051,Vihaan,Finance,Financial Analyst,3.3,2,3,2,2,3,66.0,Medium
EMP00052,Vihaan,Customer Support,Support Lead,1.4,2,1,1,1,3,80.0,High
EMP00053,Ananya,Marketing,Marketing Analyst,4.9,5,2,2,3,2,50.0,Medium
EMP00054,Neha,Sales,Account Manager,8.1,5,4,2,1,4,58.0,Medium
EMP00055,Riya,HR,HR Manager,6.4,1,4,3,4,2,52.0,Medium
EMP00056,Neha,Finance,Financial Analyst,0.4,3,1,2,5,2,53.0,Medium
EMP00057,Rahul,HR,HR Executive,7.9,1,4,2,3,4,66.0,Medium
EMP00058,Vihaan,IT,IT Support,1.6,5,4,4,4,5,41.0,Medium
EMP00059,Riya,Marketing,Marketing Analyst,2.4,5,4,3,4,5,45.0,Medium
EMP00060,Diya,IT,System Admin,14.0,2,3,1,3,4,69.0,Medium
EMP00061,Vivaan,Engineering,Software Engineer,5.5,2,5,2,5,1,42.0,Medium
EMP00062,Riya,HR,HR Manager,4.7,1,2,2,1,2,74.0,High
EMP00063,Kabir,Marketing,Marketing Manager,1.1,1,5,5,1,5,62.0,Medium
EMP00064,Vihaan,Engineering,Software Engineer,5.4,5,5,3,4,2,33.0,Low
EMP00065,Aditya,Marketing,Marketing Manager,1.8,5,1,5,4,5,46.0,Medium
EMP00066,Vivaan,Marketing,Marketing Manager,0.4,4,5,4,2,2,41.0,Medium
EMP00067,Rahul,Marketing,Marketing Analyst,2.7,4,1,5,2,2,49.0,Medium
EMP00068,Ishaan,HR,HR Executive,11.9,4,2,4,2,2,50.0,Medium
EMP00069,Ananya,IT,IT Support,10.8,1,5,5,4,2,41.0,Medium
EMP00070,Kabir,HR,HR Executive,0.1,3,4,4,2,3,51.0,Medium
EMP00071,Arjun,Marketing,Marketing Analyst,4.1,1,5,3,3,5,62.0,Medium
EMP00072,Kabir,Operations,Operations Manager,3.9,1,1,2,3,4,75.0,High
EMP00073,Riya,Engineering,Tech Lead,1.3,4,2,5,3,2,42.0,Medium
EMP00074,Vivaan,Finance,Accountant,4.6,1,2,5,2,2,58.0,Medium
EMP00075,Ishaan,Marketing,Marketing Manager,0.1,2,3,1,4,2,59.0,Medium
EMP00076,Neha,HR,HR Manager,4.8,5,3,5,4,1,28.0,Low
EMP00077,Aarav,Sales,Sales Executive,6.5,1,4,2,5,1,49.0,Medium
EMP00078,Vihaan,Operations,Operations Manager,3.4,3,1,3,4,2,53.0,Medium
EMP00079,Kabir,Engineering,Software Engineer,1.2,5,4,1,5,1,37.0,Low
EMP00080,Neha,IT,System Admin,1.1,1,1,4,1,5,78.0,High
EMP00081,Aarav,Finance,Financial Analyst,9.0,1,4,4,5,1,41.0,Medium
EMP00082,Neha,HR,HR Executive,7.5,1,4,4,3,2,52.0,Medium
EMP00083,Aditya,Finance,Financial Analyst,4.0,5,5,3,4,1,30.0,Low
EMP00084,Ananya,HR,HR Executive,3.2,5,4,5,1,5,49.0,Medium
EMP00085,Aditya,Customer Support,Support Lead,10.7,2,2,5,3,5,59.0,Medium
EMP00086,Rahul,Operations,Operations Manager,1.7,2,4,1,2,2,64.0,Medium
EMP00087,Arjun,IT,System Admin,3.9,5,5,2,1,2,49.0,Medium
EMP00088,Aditya,HR,HR Manager,8.9,2,5,5,5,3,36.0,Low
EMP00089,Kabir,Customer Support,Support Lead,3.5,5,1,4,1,1,50.0,Medium
EMP00090,Vivaan,Finance,Financial Analyst,3.6,4,4,3,5,4,42.0,Medium
EMP00091,Diya,IT,IT Support,3.3,3,2,2,3,3,61.0,Medium
EMP00092,Rahul,Finance,Accountant,1.2,2,4,2,4,4,58.0,Medium
EMP00093,Arjun,Customer Support,Support Lead,5.8,1,1,3,5,4,63.0,Medium
EMP00094,Vivaan,Finance,Financial Analyst,13.1,4,1,1,1,5,78.0,High
EMP00095,Rahul,HR,HR Manager,13.2,4,5,5,5,5,34.0,Low
EMP00096,Riya,HR,HR Executive,0.2,5,3,4,5,4,37.0,Low
EMP00097,Arjun,Engineering,Software Engineer,3.2,4,1,2,1,1,62.0,Medium
EMP00098,Rahul,HR,HR Manager,4.8,1,5,3,1,3,64.0,Medium
EMP00099,Neha,IT,System Admin,1.3,4,4,5,2,4,46.0,Medium
EMP00100,Ananya,Sales,Account Manager,4.2,2,4,2,4,4,58.0,Medium
EMP00101,Riya,Finance,Financial Analyst,1.8,4,3,1,1,1,60.0,Medium
EMP00102,Aarav,Sales,Sales Executive,2.1,5,4,5,5,3,27.0,Low
EMP00103,Ananya,Marketing,Marketing Analyst,6.9,2,3,5,1,2,55.0,Medium
EMP00104,Aditya,Sales,Sales Executive,0.3,2,3,5,5,1,36.0,Low
EMP00105,Arjun,IT,IT Support,6.0,2,1,3,5,2,53.0,Medium
EMP00106,Ananya,Customer Support,Support Lead,1.9,3,3,1,5,1,48.0,Medium
EMP00107,Aditya,Customer Support,Support Lead,2.5,3,1,5,4,1,42.0,Medium
EMP00108,Arjun,IT,System Admin,3.1,5,3,5,5,5,36.0,Low
EMP00109,Ananya,Marketing,Marketing Analyst,11.6,2,3,1,5,1,52.0,Medium
EMP00110,Diya,Operations,Operations Executive,0.6,3,5,5,4,1,30.0,Low
EMP00111,Vivaan,HR,HR Manager,4.5,2,4,2,2,2,60.0,Medium
EMP00112,Diya,Finance,Financial Analyst,2.6,3,3,2,4,1,48.0,Medium
EMP00113,Vihaan,Engineering,Software Engineer,3.2,5,3,1,1,5,68.0,Medium
EMP00114,Arjun,HR,HR Executive,3.9,2,3,3,4,2,51.0,Medium
EMP00115,Neha,HR,HR Executive,1.7,2,2,3,3,2,58.0,Medium
EMP00116,Vivaan,Operations,Operations Manager,1.7,1,4,2,3,1,57.0,Medium
EMP00117,Ananya,Customer Support,Support Executive,11.9,4,2,1,2,1,59.0,Medium
EMP00118,Rahul,Finance,Accountant,1.2,5,2,5,2,5,51.0,Medium
EMP00119,Diya,Operations,Operations Executive,0.9,3,3,3,1,3,62.0,Medium
EMP00120,Aarav,Operations,Operations Manager,0.6,4,4,1,3,3,55.0,Medium
EMP00121,Rahul,HR,HR Manager,2.9,2,5,2,3,3,56.0,Medium
EMP00122,Aditya,HR,HR Executive,6.9,2,4,2,5,5,57.0,Medium
EMP00123,Ananya,HR,HR Manager,3.2,5,1,4,2,2,49.0,Medium
EMP00124,Aditya,HR,HR Manager,0.6,2,5,3,1,2,57.0,Medium
EMP00125,Aarav,Marketing,Marketing Analyst,6.4,1,3,5,1,2,59.0,Medium
EMP00126,Arjun,Marketing,Marketing Analyst,8.1,1,3,5,4,2,47.0,Medium
EMP00127,Ishaan,Customer Support,Support Executive,5.7,2,5,2,3,3,56.0,Medium
EMP00128,Ishaan,Marketing,Marketing Analyst,5.0,3,4,5,2,2,44.0,Medium
EMP00129,Kabir,Marketing,Marketing Analyst,1.7,3,1,5,4,2,45.0,Medium
EMP00130,Aarav,Finance,Financial Analyst,3.3,1,2,4,1,1,63.0,Medium
EMP00131,Aditya,IT,IT Support,1.7,1,4,2,3,1,57.0,Medium
EMP00132,Diya,Sales,Account Manager,2.8,4,2,1,4,3,57.0,Medium
EMP00133,Kabir,IT,IT Support,1.9,5,4,2,2,3,51.0,Medium
EMP00134,Ananya,Marketing,Marketing Analyst,1.8,5,5,1,1,5,62.0,Medium
EMP00135,Rahul,Customer Support,Support Executive,0.4,4,3,1,3,3,58.0,Medium
EMP00136,Kabir,IT,System Admin,0.1,5,4,2,4,4,46.0,Medium
EMP00137,Kabir,IT,IT Support,10.0,1,3,1,2,3,74.0,High
EMP00138,Vihaan,Finance,Accountant,3.4,3,5,4,5,2,33.0,Low
EMP00139,Vivaan,HR,HR Manager,1.6,3,4,1,4,1,49.0,Medium
EMP00140,Aarav,Finance,Financial Analyst,3.0,1,2,5,3,4,60.0,Medium
EMP00141,Ishaan,Marketing,Marketing Analyst,1.5,3,1,2,2,5,74.0,High
EMP00142,Vivaan,Customer Support,Support Executive,0.3,4,2,5,2,4,52.0,Medium
EMP00143,Ishaan,HR,HR Executive,1.2,5,1,1,1,3,68.0,Medium
EMP00144,Kabir,Finance,Accountant,2.6,3,1,5,4,4,51.0,Medium
EMP00145,Ananya,Marketing,Marketing Analyst,2.1,5,3,1,2,4,61.0,Medium
EMP00146,Vihaan,Sales,Account Manager,1.9,1,4,5,3,1,45.0,Medium
EMP00147,Diya,Customer Support,Support Executive,5.6,4,3,5,5,5,40.0,Medium
EMP00148,Arjun,Marketing,Marketing Manager,1.1,2,4,1,5,2,52.0,Medium
EMP00149,Vivaan,Engineering,Software Engineer,2.0,3,5,1,1,1,58.0,Medium
EMP00150,Ishaan,Finance,Accountant,1.8,2,5,3,3,3,52.0,Medium
EMP00151,Riya,Finance,Financial Analyst,4.0,2,4,5,1,4,58.0,Medium
EMP00152,Vihaan,Marketing,Marketing Analyst,5.4,3,4,5,1,1,45.0,Medium
EMP00153,Aarav,Engineering,Tech Lead,4.9,3,1,4,2,2,57.0,Medium
EMP00154,Diya,HR,HR Manager,2.7,2,1,5,4,5,58.0,Medium
EMP00155,Rahul,Operations,Operations Manager,0.5,5,5,5,4,4,31.0,Low
EMP00156,Arjun,Engineering,Software Engineer,5.9,3,3,3,4,4,53.0,Medium
EMP00157,Aditya,Engineering,Senior Engineer,5.0,3,5,4,3,2,41.0,Medium
EMP00158,Neha,IT,IT Support,1.7,2,3,4,2,5,64.0,Medium
EMP00159,Vihaan,Engineering,Tech Lead,0.6,2,1,1,4,3,68.0,Medium
EMP00160,Vihaan,Engineering,Tech Lead,10.8,4,4,5,5,2,28.0,Low
EMP00161,Aditya,Marketing,Marketing Analyst,5.9,2,1,3,5,1,50.0,Medium
EMP00162,Aarav,Marketing,Marketing Manager,10.4,1,5,5,2,4,55.0,Medium
EMP00163,Ishaan,Sales,Account Manager,0.5,1,1,3,5,1,54.0,Medium
EMP00164,Diya,Customer Support,Support Lead,5.5,2,4,1,5,2,52.0,Medium
EMP00165,Riya,Operations,Operations Manager,1.6,4,1,2,3,2,57.0,Medium
EMP00166,Vihaan,Marketing,Marketing Manager,2.5,3,2,3,1,3,65.0,Medium
EMP00167,Ishaan,Operations,Operations Executive,0.1,3,3,1,4,5,64.0,Medium
EMP00168,Aditya,Marketing,Marketing Manager,9.9,1,5,3,2,4,63.0,Medium
EMP00169,Aditya,Finance,Accountant,1.0,1,1,4,1,1,66.0,Medium
EMP00170,Ananya,Engineering,Software Engineer,3.3,4,5,1,1,5,66.0,Medium
EMP00171,Kabir,Customer Support,Support Lead,2.0,3,3,3,5,1,40.0,Medium
EMP00172,Riya,Operations,Operations Manager,0.1,3,2,1,3,2,62.0,Medium
EMP00173,Kabir,Operations,Operations Manager,3.0,4,1,2,3,4,63.0,Medium
EMP00174,Aarav,Marketing,Marketing Analyst,0.8,5,3,2,2,3,54.0,Medium
EMP00175,Aarav,HR,HR Executive,4.1,4,1,4,2,5,62.0,Medium
EMP00176,Diya,HR,HR Manager,2.1,1,3,3,5,1,48.0,Medium
EMP00177,Ananya,HR,HR Manager,6.4,3,3,1,4,2,55.0,Medium
EMP00178,Arjun,IT,System Admin,6.5,3,4,4,5,5,45.0,Medium
EMP00179,Ishaan,HR,HR Manager,2.1,2,2,1,5,3,61.0,Medium
EMP00180,Vihaan,Marketing,Marketing Manager,0.5,3,4,5,4,2,36.0,Low
EMP00181,Aarav,HR,HR Manager,8.9,5,4,3,2,2,44.0,Medium
EMP00182,Kabir,Operations,Operations Executive,1.8,4,4,5,5,1,25.0,Low
EMP00183,Neha,Customer Support,Support Executive,2.3,4,3,4,2,4,53.0,Medium
EMP00184,Aarav,Operations,Operations Executive,0.6,2,3,1,2,3,70.0,High
EMP00185,Ananya,IT,System Admin,2.9,1,2,5,1,1,59.0,Medium
EMP00186,Diya,IT,System Admin,0.6,3,4,2,2,5,65.0,Medium
EMP00187,Ananya,HR,HR Manager,0.8,5,3,2,5,2,39.0,Low
EMP00188,Aarav,Customer Support,Support Lead,3.4,2,1,5,1,2,61.0,Medium
EMP00189,Ishaan,IT,System Admin,5.1,5,2,5,3,1,35.0,Low
EMP00190,Aarav,HR,HR Executive,1.2,3,2,4,5,1,39.0,Low
EMP00191,Rahul,Engineering,Senior Engineer,2.7,2,5,1,2,5,70.0,High
EMP00192,Aditya,Finance,Accountant,1.9,2,2,4,3,1,51.0,Medium
EMP00193,Kabir,Engineering,Tech Lead,0.3,4,3,2,5,5,52.0,Medium
EMP00194,Aditya,HR,HR Executive,7.3,3,4,1,3,3,59.0,Medium
EMP00195,Aditya,Finance,Financial Analyst,11.9,5,1,2,4,4,55.0,Medium
EMP00196,Vivaan,Customer Support,Support Executive,0.7,4,3,1,3,5,64.0,Medium
EMP00197,Riya,IT,IT Support,0.7,1,2,2,5,1,55.0,Medium
EMP00198,Arjun,IT,IT Support,0.3,1,1,1,5,3,68.0,Medium
EMP00199,Vihaan,Engineering,Tech Lead,3.6,1,3,3,2,5,72.0,High
EMP00200,Diya,Marketing,Marketing Manager,0.0,3,2,4,3,5,59.0,Medium
EMP00201,Ananya,Finance,Financial Analyst,0.4,3,1,5,1,2,57.0,Medium
EMP00202,Neha,Operations,Operations Manager,4.7,1,4,3,5,1,45.0,Medium
EMP00203,Arjun,Customer Support,Support Executive,4.3,1,2,1,4,3,69.0,Medium
EMP00204,Vivaan,Customer Support,Support Executive,17.6,5,2,2,1,2,58.0,Medium
EMP00205,Neha,Engineering,Tech Lead,3.4,2,5,1,3,2,57.0,Medium
EMP00206,Ananya,Finance,Financial Analyst,2.2,5,2,4,3,2,42.0,Medium
EMP00207,Kabir,Finance,Accountant,3.0,1,3,4,4,5,60.0,Medium
EMP00208,Aditya,Engineering,Tech Lead,0.3,5,3,2,4,1,40.0,Medium
EMP00209,Kabir,Operations,Operations Manager,3.1,1,5,2,1,5,74.0,High
EMP00210,Aditya,Engineering,Senior Engineer,3.8,2,3,2,2,3,66.0,Medium
EMP00211,Neha,HR,HR Manager,8.3,5,2,3,3,4,52.0,Medium
EMP00212,Riya,Marketing,Marketing Manager,0.2,1,5,5,4,1,38.0,Low
EMP00213,Aarav,HR,HR Executive,3.5,4,1,2,1,4,71.0,High
EMP00214,Kabir,HR,HR Manager,5.4,1,3,5,2,4,61.0,Medium
EMP00215,Ananya,Sales,Account Manager,5.0,5,1,1,5,1,46.0,Medium
EMP00216,Diya,Finance,Financial Analyst,0.5,1,4,4,3,2,52.0,Medium
EMP00217,Neha,HR,HR Executive,6.4,5,3,4,3,5,48.0,Medium
EMP00218,Riya,HR,HR Manager,18.1,4,4,3,4,5,49.0,Medium
EMP00219,Diya,HR,HR Executive,4.2,5,3,5,2,3,42.0,Medium
EMP00220,Neha,Sales,Sales Executive,0.8,2,1,1,2,3,76.0,High
EMP00221,Ishaan,Sales,Sales Executive,7.0,5,5,1,1,3,56.0,Medium
EMP00222,Vihaan,IT,System Admin,3.6,1,5,3,2,3,60.0,Medium
EMP00223,Vivaan,Finance,Accountant,5.7,1,3,3,5,5,60.0,Medium
EMP00224,Ishaan,Sales,Account Manager,3.1,1,4,5,2,3,55.0,Medium
EMP00225,Kabir,IT,IT Support,8.4,3,3,4,5,1,36.0,Low
EMP00226,Neha,Engineering,Tech Lead,0.2,2,4,2,1,1,61.0,Medium
EMP00227,Arjun,Customer Support,Support Lead,3.2,3,2,4,3,5,59.0,Medium
EMP00228,Rahul,HR,HR Manager,0.2,2,5,4,5,4,43.0,Medium
EMP00229,Vivaan,Customer Support,Support Executive,0.3,1,2,5,5,3,49.0,Medium
EMP00230,Rahul,IT,System Admin,7.0,2,3,5,5,1,36.0,Low
EMP00231,Diya,HR,HR Executive,8.4,3,4,1,3,3,59.0,Medium
EMP00232,Ananya,Engineering,Senior Engineer,0.7,5,3,5,1,5,52.0,Medium
EMP00233,Vihaan,Finance,Accountant,4.6,3,4,5,3,5,49.0,Medium
EMP00234,Ishaan,Engineering,Senior Engineer,8.2,3,2,2,3,5,67.0,Medium
EMP00235,Vihaan,IT,IT Support,5.4,2,4,2,5,5,57.0,Medium
EMP00236,Vihaan,Marketing,Marketing Analyst,1.2,2,5,3,1,1,54.0,Medium
EMP00237,Vivaan,Marketing,Marketing Analyst,4.0,2,4,5,3,3,47.0,Medium
EMP00238,Vivaan,Marketing,Marketing Manager,5.7,2,1,2,4,4,67.0,Medium
EMP00239,Ananya,Marketing,Marketing Manager,0.8,5,5,4,4,4,35.0,Low
EMP00240,Diya,Sales,Account Manager,0.3,3,1,4,1,2,61.0,Medium
EMP00241,Rahul,Marketing,Marketing Manager,2.6,2,3,2,2,5,72.0,High
EMP00242,Arjun,Marketing,Marketing Analyst,2.4,3,3,4,5,4,45.0,Medium
EMP00243,Arjun,Finance,Financial Analyst,0.1,3,1,3,3,2,57.0,Medium
EMP00244,Vihaan,HR,HR Manager,0.0,2,2,5,4,1,43.0,Medium
EMP00245,Rahul,Marketing,Marketing Analyst,0.4,1,5,5,3,4,51.0,Medium
EMP00246,Riya,Customer Support,Support Lead,7.3,4,3,3,3,1,44.0,Medium
EMP00247,Kabir,Operations,Operations Manager,13.2,4,5,5,5,3,28.0,Low
EMP00248,Aditya,Customer Support,Support Lead,13.4,3,1,5,3,3,52.0,Medium
EMP00249,Arjun,Engineering,Tech Lead,2.1,4,2,5,3,1,39.0,Low
EMP00250,Rahul,Marketing,Marketing Analyst,4.2,4,2,4,3,4,52.0,Medium
EMP00251,Riya,Sales,Sales Executive,0.8,1,5,5,3,2,45.0,Medium
EMP00252,Riya,HR,HR Manager,5.7,3,5,4,5,4,39.0,Low
EMP00253,Diya,HR,HR Executive,13.7,4,1,1,4,4,63.0,Medium
EMP00254,Rahul,Operations,Operations Manager,2.3,1,4,5,5,2,40.0,Medium
EMP00255,Kabir,Finance,Financial Analyst,6.4,3,5,1,5,2,45.0,Medium
EMP00256,Neha,Marketing,Marketing Manager,4.6,2,3,5,1,1,52.0,Medium
EMP00257,Arjun,Finance,Accountant,12.2,1,3,3,1,1,64.0,Medium
EMP00258,Riya,Customer Support,Support Lead,0.4,4,4,1,2,2,56.0,Medium
EMP00259,Riya,Operations,Operations Executive,1.6,2,1,1,1,5,86.0,High
EMP00260,Diya,Customer Support,Support Lead,0.3,5,4,2,2,2,48.0,Medium
EMP00261,Rahul,Operations,Operations Manager,4.7,2,2,2,4,1,55.0,Medium
EMP00262,Diya,Finance,Financial Analyst,12.1,5,3,3,1,1,48.0,Medium
EMP00263,Neha,Operations,Operations Executive,0.2,1,2,4,2,4,68.0,Medium
EMP00264,Ishaan,Operations,Operations Manager,6.5,3,3,4,4,2,43.0,Medium
EMP00265,Vihaan,Marketing,Marketing Analyst,6.1,3,1,4,2,3,60.0,Medium
EMP00266,Arjun,Marketing,Marketing Analyst,5.2,4,4,5,1,5,53.0,Medium
EMP00267,Aditya,Sales,Account Manager,3.8,3,4,5,5,5,41.0,Medium
EMP00268,Riya,Sales,Account Manager,4.3,3,4,2,2,3,59.0,Medium
EMP00269,Vihaan,Finance,Financial Analyst,1.0,1,3,3,4,2,55.0,Medium
EMP00270,Neha,Operations,Operations Executive,2.1,5,5,1,4,1,38.0,Low
EMP00271,Aarav,Finance,Accountant,8.1,2,5,4,5,4,43.0,Medium
EMP00272,Riya,HR,HR Manager,5.3,4,4,2,1,3,59.0,Medium
EMP00273,Aditya,HR,HR Manager,3.5,4,2,5,2,4,52.0,Medium
EMP00274,Diya,Sales,Sales Executive,8.3,2,4,2,3,3,59.0,Medium
EMP00275,Ishaan,Operations,Operations Executive,1.3,5,4,3,5,2,32.0,Low
EMP00276,Neha,Marketing,Marketing Analyst,4.0,1,3,2,4,2,59.0,Medium
EMP00277,Diya,HR,HR Executive,1.1,2,5,5,5,1,30.0,Low
EMP00278,Ananya,Sales,Sales Executive,1.1,4,5,1,4,2,45.0,Medium
EMP00279,Aarav,Finance,Financial Analyst,0.4,1,3,1,1,4,81.0,High
EMP00280,Riya,Operations,Operations Executive,1.2,5,5,1,4,4,47.0,Medium
EMP00281,Ishaan,IT,System Admin,14.0,3,2,3,2,5,67.0,Medium
EMP00282,Arjun,HR,HR Executive,1.6,1,1,5,4,3,56.0,Medium
EMP00283,Aarav,Marketing,Marketing Manager,11.9,1,4,4,1,3,63.0,Medium
EMP00284,Diya,Marketing,Marketing Manager,5.3,5,4,5,1,1,37.0,Low
EMP00285,Rahul,HR,HR Executive,4.9,4,4,3,5,4,42.0,Medium
EMP00286,Rahul,HR,HR Manager,1.3,2,1,5,4,2,49.0,Medium
EMP00287,Ishaan,HR,HR Manager,0.2,3,5,5,3,5,46.0,Medium
EMP00288,Vihaan,Marketing,Marketing Analyst,0.4,3,4,2,4,5,57.0,Medium
EMP00289,Aarav,Engineering,Software Engineer,2.6,3,3,2,1,2,63.0,Medium
EMP00290,Ananya,HR,HR Manager,14.5,3,2,4,4,5,55.0,Medium
EMP00291,Kabir,Customer Support,Support Executive,0.6,2,2,4,2,5,67.0,Medium
EMP00292,Neha,Marketing,Marketing Analyst,0.4,5,5,2,1,2,49.0,Medium
EMP00293,Vivaan,HR,HR Executive,1.9,2,2,1,2,1,67.0,Medium
EMP00294,Vihaan,IT,System Admin,0.1,1,4,1,1,3,75.0,High
EMP00295,Aditya,Sales,Sales Executive,11.3,5,5,1,2,4,55.0,Medium
EMP00296,Vivaan,Operations,Operations Manager,0.7,1,1,1,1,5,90.0,High
EMP00297,Riya,Sales,Account Manager,6.1,5,1,3,4,2,45.0,Medium
EMP00298,Riya,Customer Support,Support Lead,2.1,4,3,2,2,5,64.0,Medium
EMP00299,Vivaan,Operations,Operations Manager,6.4,3,5,3,1,1,50.0,Medium
EMP00300,Arjun,Finance,Financial Analyst,1.6,1,4,2,5,3,55.0,Medium
EMP00301,Kabir,Marketing,Marketing Manager,2.0,1,1,1,1,3,84.0,High
EMP00302,Arjun,Finance,Financial Analyst,1.0,2,3,3,2,2,59.0,Medium
EMP00303,Riya,Finance,Accountant,2.5,3,5,2,2,4,59.0,Medium
EMP00304,Diya,Finance,Financial Analyst,0.1,2,1,4,5,2,49.0,Medium
EMP00305,Aditya,Marketing,Marketing Analyst,3.0,4,4,3,2,4,54.0,Medium
EMP00306,Aditya,Engineering,Tech Lead,12.5,5,5,3,5,4,35.0,Low
EMP00307,Aarav,Engineering,Senior Engineer,12.4,4,3,3,4,5,52.0,Medium
EMP00308,Ananya,Sales,Sales Executive,2.6,3,2,5,4,5,51.0,Medium
EMP00309,Vivaan,Engineering,Senior Engineer,1.3,3,5,4,3,2,41.0,Medium
EMP00310,Neha,IT,System Admin,3.8,2,2,1,5,4,64.0,Medium
EMP00311,Diya,IT,System Admin,6.9,3,4,2,5,1,41.0,Medium
EMP00312,Neha,Marketing,Marketing Analyst,3.4,2,4,4,4,1,41.0,Medium
EMP00313,Neha,Marketing,Marketing Manager,1.9,5,2,3,5,5,47.0,Medium
EMP00314,Vivaan,Finance,Financial Analyst,8.6,1,2,1,2,2,74.0,High
EMP00315,Kabir,Operations,Operations Executive,1.8,2,1,2,3,5,74.0,High
EMP00316,Neha,Operations,Operations Manager,1.4,3,4,4,2,1,45.0,Medium
EMP00317,Rahul,Finance,Financial Analyst,0.4,4,2,1,2,5,71.0,High
