EmployeeID,EmployeeName,Department,Manager,RiskScore,RiskBand,SelectedAction,ActionStatus,ManagerComment,OutcomeStatus,OutcomeDate
EMP09876,Ishaan,Engineering,Manager_Engineering,50.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP08244,Ishaan,HR,Manager_HR,59.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP09046,Ananya,Operations,Manager_Operations,59.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP12328,Diya,Finance,Manager_Finance,66.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP00945,Arjun,Marketing,Manager_Marketing,66.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-11-26 18:05:59.722079
EMP03752,Ananya,Sales,Manager_Sales,54.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP06304,Vivaan,Engineering,Manager_Engineering,50.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP05122,Riya,HR,Manager_HR,61.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP09693,Aarav,Sales,Manager_Sales,46.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP04483,Diya,HR,Manager_HR,69.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP10521,Diya,Marketing,Manager_Marketing,53.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-10-31 18:05:59.727951
EMP02806,Aditya,Operations,Manager_Operations,62.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-12-29 18:05:59.728920
EMP10182,Ananya,IT,Manager_IT,66.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP01066,Kabir,Engineering,Manager_Engineering,58.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP01854,Ishaan,Engineering,Manager_Engineering,65.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-09-22 18:05:59.731934
EMP03464,Rahul,Finance,Manager_Finance,45.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-11-21 18:05:59.732937
EMP05057,Diya,Engineering,Manager_Engineering,66.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP05429,Diya,Finance,Manager_Finance,68.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP12073,Vivaan,Sales,Manager_Sales,48.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-09-19 18:05:59.735775
EMP10425,Rahul,Marketing,Manager_Marketing,49.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-12-12 18:05:59.736953
EMP07698,Diya,Customer Support,Manager_Customer Support,47.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP08547,Riya,Operations,Manager_Operations,45.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-10-30 18:05:59.739202
EMP00638,Vivaan,IT,Manager_IT,57.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP03326,Arjun,IT,Manager_IT,44.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP03782,Arjun,IT,Manager_IT,54.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-10-07 18:05:59.742180
EMP11404,Rahul,Marketing,Manager_Marketing,43.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP09732,Neha,HR,Manager_HR,55.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP05177,Kabir,HR,Manager_HR,55.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP03482,Ananya,Engineering,Manager_Engineering,45.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-10-23 18:05:59.745867
EMP14387,Diya,Engineering,Manager_Engineering,51.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP07141,Rahul,Engineering,Manager_Engineering,53.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP09679,Riya,Operations,Manager_Operations,70.0,High,Retention Bonus,Completed,Reviewed by manager,No Change,2025-10-13 18:05:59.748816
EMP05936,Aarav,Engineering,Manager_Engineering,65.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP01207,Vivaan,IT,Manager_IT,46.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP08380,Aarav,Customer Support,Manager_Customer Support,65.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-09-19 18:05:59.751752
EMP00777,Aditya,Finance,Manager_Finance,48.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-09-24 18:05:59.752826
EMP06160,Aarav,IT,Manager_IT,40.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP13599,Aditya,Engineering,Manager_Engineering,65.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-11-18 18:05:59.754784
EMP02665,Aarav,Engineering,Manager_Engineering,67.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP08153,Aarav,Customer Support,Manager_Customer Support,43.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP13187,Arjun,Sales,Manager_Sales,68.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP00992,Kabir,Customer Support,Manager_Customer Support,52.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP00934,Aarav,Finance,Manager_Finance,52.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP07919,Kabir,Customer Support,Manager_Customer Support,71.0,High,Manager Intervention,Pending,Reviewed by manager,,
EMP03323,Aarav,Customer Support,Manager_Customer Support,56.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP10996,Diya,Customer Support,Manager_Customer Support,58.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP07434,Vihaan,Marketing,Manager_Marketing,65.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP08238,Vivaan,Sales,Manager_Sales,42.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP00448,Neha,Finance,Manager_Finance,65.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-11-22 18:05:59.771026
EMP04152,Arjun,IT,Manager_IT,58.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP03858,Kabir,HR,Manager_HR,40.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP10075,Kabir,Engineering,Manager_Engineering,45.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-12-02 18:05:59.773875
EMP13975,Aarav,Marketing,Manager_Marketing,54.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP05277,Diya,Engineering,Manager_Engineering,42.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP09306,Neha,Finance,Manager_Finance,56.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP00622,Aarav,HR,Manager_HR,54.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP09714,Vihaan,Sales,Manager_Sales,67.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP02596,Ishaan,HR,Manager_HR,58.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP10802,Neha,IT,Manager_IT,44.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP03843,Riya,Engineering,Manager_Engineering,55.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP03451,Diya,Engineering,Manager_Engineering,69.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP04028,Vivaan,Finance,Manager_Finance,52.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP09491,Kabir,Operations,Manager_Operations,67.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP10987,Kabir,Customer Support,Manager_Customer Support,52.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP02124,Diya,Engineering,Manager_Engineering,54.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP04892,Ishaan,Engineering,Manager_Engineering,49.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP04024,Ishaan,IT,Manager_IT,50.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP07899,Aditya,Finance,Manager_Finance,49.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-09-24 18:05:59.789734
EMP11384,Riya,Finance,Manager_Finance,72.0,High,Retention Bonus,In Progress,Reviewed by manager,,
EMP00795,Ananya,Sales,Manager_Sales,61.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP03427,Ananya,Sales,Manager_Sales,61.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP04779,Neha,Customer Support,Manager_Customer Support,70.0,High,Career Discussion,Pending,Reviewed by manager,,
EMP10345,Ananya,Sales,Manager_Sales,65.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP01414,Neha,Finance,Manager_Finance,82.0,High,Retention Bonus,Pending,Reviewed by manager,,
EMP04543,Vivaan,Customer Support,Manager_Customer Support,56.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-09-29 18:05:59.796604
EMP01997,Aditya,Operations,Manager_Operations,41.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP04408,Vivaan,Sales,Manager_Sales,48.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP00971,Diya,Sales,Manager_Sales,59.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP07330,Kabir,Finance,Manager_Finance,63.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-12-15 18:05:59.800793
EMP06207,Diya,HR,Manager_HR,68.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-11-25 18:05:59.801682
EMP00254,Rahul,Operations,Manager_Operations,40.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-12-28 18:05:59.802682
EMP00137,Kabir,IT,Manager_IT,74.0,High,Retention Bonus,Completed,Reviewed by manager,Improved,2025-12-04 18:05:59.803610
EMP08776,Vivaan,Customer Support,Manager_Customer Support,65.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP12424,Vihaan,IT,Manager_IT,40.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP00565,Kabir,Engineering,Manager_Engineering,57.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP10579,Ishaan,Finance,Manager_Finance,50.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP11226,Ananya,Marketing,Manager_Marketing,48.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-09-22 18:05:59.808500
EMP03189,Ananya,IT,Manager_IT,56.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-11-04 18:05:59.809476
EMP10971,Vihaan,Engineering,Manager_Engineering,63.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2026-01-04 18:05:59.810508
EMP07443,Aarav,Engineering,Manager_Engineering,41.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-09-20 18:05:59.811581
EMP01690,Riya,Engineering,Manager_Engineering,58.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP08323,Ishaan,Finance,Manager_Finance,67.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP12240,Vihaan,HR,Manager_HR,41.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP02909,Neha,Operations,Manager_Operations,54.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-11-15 18:05:59.815629
EMP14254,Riya,Sales,Manager_Sales,54.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-10-21 18:05:59.816559
EMP07178,Arjun,HR,Manager_HR,58.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-12-15 18:05:59.818813
EMP02604,Vihaan,IT,Manager_IT,41.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-11-19 18:05:59.819792
EMP13121,Riya,Customer Support,Manager_Customer Support,60.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP11250,Kabir,Marketing,Manager_Marketing,47.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP14542,Kabir,Engineering,Manager_Engineering,56.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-09-26 18:05:59.822668
EMP01382,Vivaan,Finance,Manager_Finance,49.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP13731,Kabir,Finance,Manager_Finance,41.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-09-22 18:05:59.824530
EMP07873,Vivaan,HR,Manager_HR,64.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP05924,Vivaan,IT,Manager_IT,46.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP03608,Riya,HR,Manager_HR,60.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP06135,Aarav,Engineering,Manager_Engineering,46.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-10-18 18:05:59.828243
EMP07590,Riya,Operations,Manager_Operations,40.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-10-11 18:05:59.829145
EMP12728,Neha,Sales,Manager_Sales,43.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP01352,Ananya,Sales,Manager_Sales,76.0,High,Retention Bonus,In Progress,Reviewed by manager,,
EMP14471,Neha,HR,Manager_HR,48.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP05744,Diya,HR,Manager_HR,48.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP14305,Vihaan,IT,Manager_IT,40.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP06300,Ishaan,Operations,Manager_Operations,53.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP10510,Neha,HR,Manager_HR,42.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP09379,Vivaan,Finance,Manager_Finance,42.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP13664,Ishaan,HR,Manager_HR,51.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP02115,Ishaan,IT,Manager_IT,57.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2026-01-03 18:05:59.838643
EMP00835,Rahul,Operations,Manager_Operations,40.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP13349,Arjun,Finance,Manager_Finance,61.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-11-08 18:05:59.840578
EMP01261,Ananya,Engineering,Manager_Engineering,52.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP09257,Ananya,Customer Support,Manager_Customer Support,71.0,High,Retention Bonus,Completed,Reviewed by manager,No Change,2025-11-08 18:05:59.843107
EMP07711,Ishaan,HR,Manager_HR,64.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP13538,Vivaan,Marketing,Manager_Marketing,49.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP12577,Neha,Marketing,Manager_Marketing,43.0,Medium,Career Discussion,In Progress,Reviewed by manager,,
EMP01590,Aarav,HR,Manager_HR,55.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-10-22 18:05:59.846889
EMP02626,Arjun,IT,Manager_IT,58.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP08137,Aarav,Finance,Manager_Finance,54.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP08076,Aditya,Engineering,Manager_Engineering,62.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP11476,Aditya,HR,Manager_HR,42.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-09-25 18:05:59.850748
EMP11527,Aarav,Operations,Manager_Operations,48.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP13266,Diya,HR,Manager_HR,57.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP11349,Aarav,Finance,Manager_Finance,72.0,High,Retention Bonus,In Progress,Reviewed by manager,,
EMP05363,Aditya,Engineering,Manager_Engineering,59.0,Medium,Manager Intervention,Completed,Reviewed by manager,No Change,2025-11-23 18:05:59.854458
EMP10143,Aarav,Marketing,Manager_Marketing,54.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP10845,Ananya,HR,Manager_HR,55.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP06985,Kabir,Marketing,Manager_Marketing,65.0,Medium,Retention Bonus,In Progress,Reviewed by manager,,
EMP00635,Diya,Engineering,Manager_Engineering,79.0,High,Retention Bonus,Completed,Reviewed by manager,Improved,2025-11-06 18:05:59.863679
EMP12380,Ishaan,Finance,Manager_Finance,77.0,High,Manager Intervention,In Progress,Reviewed by manager,,
EMP07585,Ananya,Operations,Manager_Operations,44.0,Medium,Career Discussion,Completed,Reviewed by manager,Improved,2025-11-13 18:05:59.865666
EMP11194,Rahul,HR,Manager_HR,52.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP05645,Rahul,Customer Support,Manager_Customer Support,46.0,Medium,Career Discussion,Pending,Reviewed by manager,,
EMP13427,Aarav,Customer Support,Manager_Customer Support,56.0,Medium,Manager Intervention,In Progress,Reviewed by manager,,
EMP00694,Diya,HR,Manager_HR,56.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP03681,Rahul,Sales,Manager_Sales,56.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2026-01-05 18:05:59.871157
EMP10447,Ananya,Marketing,Manager_Marketing,62.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-10-02 18:05:59.872239
EMP02634,Aditya,Marketing,Manager_Marketing,48.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-12-24 18:05:59.873212
EMP11417,Ishaan,IT,Manager_IT,56.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP07564,Aditya,Operations,Manager_Operations,78.0,High,Career Discussion,Pending,Reviewed by manager,,
EMP07592,Aditya,Engineering,Manager_Engineering,42.0,Medium,Career Discussion,Completed,Reviewed by manager,No Change,2025-10-14 18:05:59.876220
EMP02738,Ananya,HR,Manager_HR,52.0,Medium,Retention Bonus,Pending,Reviewed by manager,,
EMP06716,Rahul,Marketing,Manager_Marketing,52.0,Medium,Retention Bonus,Completed,Reviewed by manager,No Change,2025-10-01 18:05:59.878157
EMP09052,Rahul,Operations,Manager_Operations,68.0,Medium,Manager Intervention,Completed,Reviewed by manager,Improved,2025-09-26 18:05:59.879211
EMP05058,Aditya,Finance,Manager_Finance,62.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP05637,Aditya,Customer Support,Manager_Customer Support,53.0,Medium,Manager Intervention,Pending,Reviewed by manager,,
EMP10207,Rahul,Sales,Manager_Sales,68.0,Medium,Retention Bonus,Completed,Reviewed by manager,Improved,2025-10-26 18:05:59.882181
